,words_pair,nums
0,ии иску́сственный,2
1,ии интелле́кт,2
2,англ ии,4
3,ии свойство,2
4,ии прерогативой,2
5,ии человека,14
6,ии сознанием,3
7,ии ис,2
8,ии наука,2
9,ии технология,3
10,ии ии,25
11,задачей ии,6
12,ии использования,7
13,ии компьютеров,5
14,ии понимания,5
15,ии человеческого,9
16,ии методами,5
17,ии сегодня,2
18,ии применения,6
19,artificial intelligence,10
20,ai artificial,5
21,ai intelligence,5
22,интеллектуальных искусственных,2
23,систем технология,2
24,систем создания,3
25,интеллектуальных систем,10
26,машин систем,3
27,компьютерных систем,3
28,программ систем,2
29,использования систем,4
30,систем системы,3
31,области систем,5
32,применения систем,2
33,интеллектуальных творческие,2
34,использования человека,2
35,компьютеров человека,4
36,понимания человека,2
37,человека человеческого,4
38,искусственным сознанием,2
39,ис сознанием,2
40,наука технология,2
41,машин наука,2
42,наука программ,2
43,машин технология,2
44,программ технология,2
45,машин создания,5
46,программ создания,2
47,интеллектуальных машин,6
48,интеллектуальных компьютерных,5
49,интеллектуальных программ,4
50,интеллектуальных человеческого,2
51,интеллектуальных правдоподобными,2
52,интеллектуальные интеллектуальных,2
53,интеллектуальных узкие,2
54,компьютерных машин,2
55,машин программ,2
56,машин области,3
57,компьютерных программ,2
58,задачей сходной,2
59,сходной человеческого,2
60,правдоподобными сходной,2
61,задачей использования,2
62,задачей понимания,2
63,задачей методами,2
64,задачей области,2
65,использования компьютеров,2
66,использования понимания,2
67,использования человеческого,2
68,использования применения,3
69,компьютеров понимания,2
70,компьютеров методами,2
71,понимания человеческого,2
72,биологически обязательно,2
73,методами правдоподобными,2
74,интеллектуальные области,2
75,искусственного человека,9
76,джоном человека,2
77,маккарти человека,2
78,году человека,4
79,семинаре человека,2
80,дартмутском человека,2
81,университете человека,2
82,человека человека,2
83,вопросы интеллекта,5
84,интеллекта преамбуле,2
85,интеллекта определение,5
86,маккарти определение,2
87,искусственного маккарти,2
88,году искусственного,3
89,джоном интеллекта,2
90,интеллекта маккарти,3
91,году интеллекта,4
92,интеллекта семинаре,2
93,дартмутском интеллекта,2
94,интеллекта университете,2
95,джоном маккарти,2
96,году джоном,2
97,году маккарти,2
98,ии исследователи,4
99,ии людей,2
100,джон ии,2
101,ии маккарти,3
102,методы определение,2
103,проблем решения,2
104,интеллектом мире,2
105,время интеллектом,2
106,зрения интеллектом,2
107,английском интеллектом,2
108,интеллектом языке,2
109,науки целей,2
110,зрения науки,2
111,искусственного науки,3
112,вычислительная способности,2
113,вычислительная интеллект,4
114,вычислительная искусственного,2
115,вычислительная системы,2
116,способности целей,2
117,искусственного способности,2
118,способности способность,2
119,зрения целей,2
120,определения целей,2
121,интеллекта целей,4
122,системы целей,2
123,задач целей,3
124,время мире,2
125,которого мире,2
126,искусственного мире,5
127,мире человека,3
128,время языке,2
129,время очередь,2
130,зрения определения,2
131,зрения искусственного,6
132,зрения человека,2
133,зрения машины,2
134,задач зрения,3
135,зрения середине,2
136,которой машины,2
137,которой системы,2
138,интеллект оно,3
139,интеллект общее,3
140,биологическим искусственного,2
141,искусственного феноменом,2
142,английском языке,2
143,английском искусственного,2
144,которого языке,2
145,искусственного языке,2
146,системы языке,2
147,антропоморфной искусственного,2
148,антропоморфной интеллекта,3
149,искусственного окраски,2
150,искусственного традиционном,2
151,искусственного русском,2
152,искусственного переводе,2
153,искусственного используемом,2
154,искусственного контексте,2
155,искусственного которого,3
156,которого человека,3
157,аналог искусственного,2
158,задач определения,3
159,искусственного частных,3
160,искусственного общее,2
161,искусственного ходе,3
162,искусственного самообучения,2
163,искусственного определённого,2
164,искусственного класса,2
165,искусственного сложности,2
166,искусственного нового,2
167,искусственного научного,2
168,искусственного направления,3
169,века искусственного,2
170,интеллекта нового,3
171,интеллекта научного,3
172,машины человека,4
173,очередь первую,2
174,времени работы,2
175,времени теории,2
176,времени вычислений,3
177,времени плане,2
178,времени машина,2
179,времени помощью,3
180,времени устройств,2
181,времени интеллекта,3
182,зародился сформировано,2
183,множество представления,3
184,знаний множество,3
185,виде множество,3
186,множество теории,2
187,вычислений множество,2
188,множество плане,3
189,вычислений предпосылок,2
190,вычислений зарождения,2
191,зарождения плане,2
192,возможностей зарождения,2
193,философов человека,2
194,вычислений философов,2
195,возможностей философов,2
196,разума философов,2
197,искусственного философов,2
198,зародился шли,2
199,вычислений споры,2
200,плане споры,2
201,интеллекта споры,2
202,плане природе,2
203,вопрос природе,2
204,которой природе,2
205,интеллекта природе,2
206,процессе человека,2
207,нейрофизиологи человека,2
208,психологи человека,2
209,ряд человека,2
210,работы человека,2
211,мозга человека,4
212,мышления человека,3
213,человека экономисты,2
214,математики человека,2
215,расчётов человека,2
216,формализованном человека,2
217,виде человека,2
218,фундамент человека,2
219,теории человека,4
220,алгоритмов человека,2
221,плане человека,4
222,границы человека,2
223,уровня человека,2
224,развития человека,2
225,пионеров человека,2
226,вычислительной человека,2
227,техники человека,2
228,учёный человека,2
229,алан человека,2
230,тьюринг человека,2
231,момент человека,2
232,разумности человека,2
233,теста человека,3
234,коллежский человека,2
235,советник человека,2
236,семён человека,2
237,николаевич человека,2
238,корсаков человека,2
239,усиления человека,2
240,разума человека,3
241,разработки человека,2
242,методов человека,2
243,процессе работы,2
244,процессе теории,2
245,плане процессе,2
246,процессе статью,2
247,машина процессе,2
248,интеллекта процессе,2
249,вычислений познания,2
250,плане познания,2
251,возможностей познания,2
252,вычислений мира,2
253,мира плане,2
254,возможностей мира,2
255,ряд человеческого,2
256,ряд теории,3
257,алгоритмов ряд,2
258,плане ряд,2
259,области ряд,2
260,машина ряд,2
261,разумности ряд,2
262,искусственного ряд,5
263,интеллекта ряд,5
264,теории теорий,2
265,вычислений теорий,2
266,вычислений работы,3
267,машин работы,2
268,плане работы,2
269,области работы,2
270,которой работы,2
271,методов работы,2
272,работы устройств,2
273,искусственного работы,2
274,интеллекта работы,2
275,алгоритмов человеческого,2
276,плане человеческого,2
277,вопрос человеческого,3
278,году человеческого,2
279,разума человеческого,2
280,вычислений мозга,2
281,машин мозга,2
282,мозга плане,2
283,возможностей мозга,2
284,которой мозга,2
285,вычислений мышления,2
286,мышления плане,2
287,вопрос мышления,4
288,возможностей мышления,2
289,году мышления,2
290,момент мышления,2
291,мышления теста,4
292,мышления тьюринга,2
293,мышления разума,2
294,искусственного мышления,4
295,интеллекта мышления,3
296,задавались зародился,2
297,вопросами вычислений,2
298,вопросами плане,2
299,вычислений оптимальных,2
300,возможностей оптимальных,2
301,вычислений расчётов,2
302,плане расчётов,2
303,виде представления,2
304,вычислений представления,2
305,плане представления,2
306,возможностей представления,2
307,знаний машин,2
308,знаний интеллекта,5
309,плане формализованном,2
310,виде теории,2
311,виде плане,2
312,виде машина,2
313,виде искусственного,2
314,виде интеллекта,2
315,зародился оказались,2
316,достигнут зародился,2
317,зародился пишет,2
318,зародился описывает,2
319,зародился сравняется,2
320,зародился получившую,2
321,зародился ставил,2
322,теории фундамент,2
323,плане фундамент,2
324,которой математической,2
325,плане теории,4
326,сообществе теории,2
327,году теории,2
328,алан теории,2
329,названием теории,2
330,момент теории,2
331,современной теории,2
332,искусственного теории,5
333,алгоритмов вычислений,2
334,вычислений компьютеры,2
335,возможности вычислений,2
336,вычислений новых,3
337,вычислений машин,3
338,вычислений скорости,2
339,вычислений сообществе,2
340,вычислений границы,2
341,вычислений уровня,3
342,вычислений развития,2
343,вычислений пионеров,2
344,вычислений техники,2
345,вычислений названием,2
346,вычислений разумности,2
347,вычислений теста,2
348,вычислений тьюринга,2
349,вычислений усиления,2
350,вычислений разума,2
351,вычислений разработки,2
352,вычислений научных,2
353,вычислений методов,2
354,вычислений устройств,3
355,вычислений интеллекта,7
356,алгоритмов плане,2
357,алгоритмов развития,2
358,алгоритмов искусственного,4
359,алгоритмов интеллекта,4
360,компьютеры плане,2
361,возможности машин,2
362,возможностей возможности,2
363,возможностей новых,2
364,машин машины,3
365,машин разумности,3
366,машин устройств,2
367,плане скорости,2
368,плане учёном,2
369,плане сообществе,2
370,границы плане,2
371,плане уровня,2
372,плане развития,2
373,году плане,2
374,области плане,2
375,плане техники,2
376,английский плане,2
377,плане учёный,2
378,алан плане,2
379,плане тьюринг,2
380,плане статью,2
381,названием плане,2
382,машина плане,4
383,которой плане,2
384,плане процедуру,2
385,плане помощью,2
386,момент плане,2
387,плане разумности,2
388,плане теста,2
389,коллежский плане,2
390,плане советник,2
391,плане семён,2
392,николаевич плане,2
393,корсаков плане,2
394,задачу плане,2
395,плане усиления,2
396,плане разума,2
397,плане разработки,2
398,методов плане,2
399,концепцией плане,2
400,искусственного плане,2
401,интеллекта плане,2
402,возможностей человеческих,2
403,машина сообществе,2
404,вопрос области,2
405,вопрос искусственного,6
406,границы которой,2
407,возможностей уровня,2
408,возможностей развития,2
409,возможностей пионеров,2
410,возможностей которой,2
411,возможностей теста,2
412,возможностей тьюринга,2
413,возможностей разума,2
414,возможностей научных,2
415,возможностей интеллекта,2
416,разума уровня,2
417,области развития,3
418,момент развития,2
419,развития разума,2
420,искусственного развития,9
421,интеллекта развития,9
422,году машина,4
423,году момент,2
424,году корсаков,2
425,году разума,2
426,названием области,2
427,которой области,2
428,области помощью,2
429,момент области,2
430,области разработки,3
431,вычислительной помощью,2
432,которой техники,2
433,английский машина,2
434,машина учёный,2
435,которой статью,2
436,машина названием,2
437,названием помощью,2
438,названием человеком,2
439,названием разработки,2
440,интеллекта названием,2
441,машина момент,2
442,коллежский машина,2
443,машина советник,2
444,машина семён,2
445,машина николаевич,2
446,корсаков машина,2
447,машина современной,2
448,которой процедуру,2
449,которой помощью,3
450,которой разумности,2
451,которой разработки,2
452,которой современной,2
453,концепцией которой,2
454,которой усилителя,2
455,интеллекта помощью,3
456,искусственного момент,2
457,интеллекта момент,2
458,разумности тьюринга,2
459,искусственного разумности,3
460,интеллекта разумности,3
461,разума теста,2
462,искусственного теста,4
463,интеллекта теста,2
464,искусственного корсаков,2
465,интеллекта корсаков,2
466,искусственного разума,4
467,интеллекта разума,2
468,искусственного разработки,2
469,интеллекта разработки,2
470,знаний своих,2
471,информатики области,2
472,знаний карты,2
473,искусственного своего,2
474,интеллекта своего,2
475,рода систем,2
476,области рода,2
477,искусственного рода,4
478,интеллекта рода,4
479,роль систем,2
480,роль ссср,2
481,баз знаний,2
482,баз экспертных,2
483,баз систем,2
484,баз интеллекта,2
485,знаний экспертных,4
486,знаний систем,4
487,систем экспертных,3
488,искусственного экспертных,2
489,годах систем,2
490,годах интеллекта,2
491,начала цетлин,2
492,начала обучением,2
493,автоматов начала,2
494,конца начала,2
495,годов начала,3
496,западе поспелов,2
497,года данных,2
498,данных поспелов,2
499,года наук,2
500,наук поспелов,2
501,года сентября,2
502,поспелов сентября,2
503,года поспелов,2
504,поспелов президиуме,2
505,совет ссср,2
506,поспелов ссср,2
507,заместителями поспелов,2
508,россии совет,2
509,важную роль,2
510,важную искусственному,2
511,важную россии,2
512,роль россии,2
513,развитии россии,2
514,искусственному мая,2
515,искусственному цифровой,2
516,искусственному путина,2
517,искусственному национальной,2
518,интеллекту россии,5
519,интеллекту целом,2
520,интеллекту мая,2
521,интеллекту экономики,2
522,интеллекту путина,2
523,интеллекту решение,2
524,интеллекту подготовке,2
525,интеллекту стратегии,2
526,россии целом,2
527,россии ссср,2
528,мая россии,2
529,года россии,7
530,россии совещании,2
531,россии цифровой,2
532,россии экономики,4
533,председательством россии,2
534,решение россии,2
535,подготовке россии,2
536,национальной россии,2
537,россии стратегии,2
538,года целом,3
539,года цифровой,3
540,года экономики,2
541,года решение,2
542,рамках россии,2
543,декабре рамках,2
544,года программа,4
545,программа развития,2
546,выделением года,4
547,выделением развития,2
548,млрд октября,2
549,года млрд,6
550,млрд развития,2
551,года рублей,4
552,развития рублей,2
553,года октября,8
554,октября развития,2
555,искусственного октября,2
556,интеллекта октября,2
557,года своим,4
558,года указом,4
559,августа года,6
560,года проект,5
561,года руководителем,4
562,года заместитель,4
563,года министра,4
564,года экономического,4
565,года декабре,6
566,года конференция,4
567,года топ-,4
568,года форумов,4
569,развития указом,2
570,августа развития,2
571,проект развития,2
572,министра развития,2
573,развития экономического,2
574,декабре развития,2
575,конференция развития,2
576,развития топ-,2
577,развития форумов,2
578,августа искусственного,2
579,декабре искусственного,2
580,вторая искусственного,2
581,августа интеллекта,2
582,декабре интеллекта,2
583,проект россии,2
584,декабре россии,2
585,artificial journey,2
586,intelligence journey,2
587,ai journey,3
588,ии онлайн,2
589,искусственный онлайн,2
590,интеллект онлайн,2
591,михаил человек,2
592,ии конференции,2
593,года участие,3
594,владимир года,2
595,года михаил,3
596,года мишустин,3
597,года поддержки,2
598,года сфере,4
599,года ии,18
600,михаил мишустин,2
601,ии михаил,2
602,вопрос михаил,2
603,ии мишустин,2
604,интеллект сфере,5
605,вопрос ии,9
606,ии определения,4
607,какого либо,3
608,либо определения,2
609,либо науки,2
610,интеллекта либо,2
611,достижения интеллекта,2
612,вопрос науки,3
613,науки человеческого,2
614,гипотез интеллекта,2
615,гипотез тьюринга,2
616,поэтому строго,2
617,ии множества,3
618,ии подходов,2
619,ии последний,2
620,ии смысле,5
621,ии эмпирический,2
622,ии тест,3
623,аланом ии,2
624,ии тьюрингом,3
625,ии разум,8
626,ии философском,3
627,журнале ии,4
628,созданию тьюрингом,2
629,году созданию,2
630,интеллектуальных информационных,3
631,информационных систем,5
632,разработке систем,2
633,ии систем,8
634,систем статье,2
635,ии машины,5
636,разум смысле,7
637,журнале статье,2
638,году журнале,2
639,одним целью,2
640,данного одним,2
641,определение теста,2
642,близкого теста,2
643,интерпретация теста,2
644,следующим теста,2
645,образом теста,2
646,одним теста,4
647,возможности искусственного,2
648,одним человеческому,2
649,образом следующим,2
650,одним следующим,2
651,образом одним,2
652,одним человек,2
653,компьютером одним,2
654,выбор человека,3
655,реакция такую,2
656,реакция систему,2
657,реакция чувства,2
658,боль реакция,2
659,реакция срабатывание,2
660,датчика реакция,2
661,реакция удара,2
662,голод реакция,2
663,заряд реакция,2
664,аккумулятора реакция,2
665,другие многие,2
666,систем творчества,2
667,символьных систем,2
668,возможности систем,2
669,реализации систем,2
670,интеллекта творчества,3
671,подход символьный,2
672,подход языка,2
673,автора создания,2
674,вычислений языка,2
675,вычислений символьных,2
676,методах подход,2
677,модель система,2
678,основная создание,2
679,правил программы,2
680,программы процессе,2
681,такие трудности,2
682,возможности такие,2
683,интеллекта программирование,4
684,логический подход,2
685,искусственного подход,3
686,моделировании созданию,2
687,рассуждений систем,2
688,подход пролог,2
689,подход программы,3
690,вывода правил,2
691,вычислительная часть,2
692,сама такая,2
693,помощью сама,2
694,сама среде,2
695,подход сама,2
696,помощью такая,2
697,среде такая,2
698,подход такая,2
699,агентом помощью,2
700,мир окружающий,2
701,окружающей окружающий,2
702,помощью способной,2
703,помощью среде,5
704,подход помощью,2
705,внимание помощью,2
706,выполнении помощью,2
707,способной среде,2
708,окружающей среде,4
709,подход среде,2
710,внимание среде,2
711,методах среде,2
712,алгоритмах среде,2
713,выполнении среде,2
714,алгоритмы моделей,2
715,принятия решений,5
716,возможностей решений,2
717,подход спектра,2
718,моделей нейронных,2
719,полного спектра,2
720,правила умозаключений,2
721,правила сетями,2
722,обучения правила,3
723,нейронными сетями,2
724,ии сторонники,2
725,данного подхода,2
726,ии развитие,4
727,решение создание,2
728,анализ направление,2
729,анализ теория,2
730,обработка языка,2
731,анализ естественного,2
732,анализ языка,3
733,рамках языке,2
734,анализ текстов,2
735,знаний применения,2
736,анализ поиск,2
737,задачи поиск,2
738,знаний числе,3
739,получения числе,2
740,знаний направление,6
741,направление получения,2
742,информации направление,2
743,задачи знаний,2
744,знаний получения,5
745,знаний систематизации,2
746,знаний использования,2
747,данных направление,2
748,знаний созданием,2
749,данных созданием,2
750,данных экспертных,2
751,данных систем,4
752,анализа систем,3
753,знаний программ,2
754,данных программ,2
755,знаний специализированные,2
756,данных специализированные,2
757,базы данных,2
758,достоверных знаний,2
759,заключений знаний,2
760,знаний производство,2
761,данных знаний,5
762,базовых знаний,2
763,знаний проблем,2
764,анализа знаний,3
765,данных получения,2
766,данных достоверных,2
767,данных заключений,2
768,данных производство,2
769,данных проблем,3
770,анализа данных,3
771,анализа интеллектуального,2
772,основе сетей,2
773,обучения основе,2
774,основе процесса,2
775,основе получения,2
776,нейронных сетей,3
777,машинного нейронных,2
778,обучения сетей,2
779,машинного обучения,10
780,направление развития,2
781,ии самого,2
782,году учителя,2
783,рей учителя,2
784,соломонофф учителя,2
785,отчёт учителя,2
786,вывода учителя,2
787,входном учителя,2
788,потоке учителя,2
789,анализ регрессионный,2
790,используя могут,2
791,решений точки,4
792,алгоритмов анализ,2
793,анализ области,2
794,анализ распознавание,2
795,алгоритмов класс,2
796,обучения теория,2
797,области обучения,2
798,образов обучения,2
799,распознавание речи,2
800,речи текста,2
801,зрение компьютерное,3
802,поведения подхода,2
803,проблем сети,2
804,проблем таких,2
805,интеллекта новый,2
806,ии роботов,3
807,примером природа,2
808,природа робототехники,2
809,игрушки природа,2
810,природа творчества,2
811,музыки эта,2
812,написания произведений,2
813,игр индустрии,2
814,игр компьютерных,2
815,игр систем,2
816,возможности году,2
817,добавлением шума,2
818,информации шума,2
819,фильтрация шума,2
820,системе шума,2
821,знаний шума,4
822,образы шума,2
823,человеком шума,2
824,проверка шума,2
825,формальном шума,2
826,виде шума,2
827,усилий шума,2
828,масса шума,2
829,приложений шума,2
830,искусственного шума,2
831,интеллекта шума,2
832,направление шума,2
833,абстрактных знаний,3
834,абстрактных которых,2
835,знаний интуитивных,2
836,знаний малоценных,2
837,знаний значительных,2
838,знаний умственных,2
839,интуитивных которых,2
840,которых малоценных,2
841,значительных которых,2
842,которых умственных,2
843,которых усилий,2
844,интеллекта качестве,3
845,безопасности интеллекта,3
846,интеллекта перспективе,3
847,интеллекта связь,3
848,интеллекта принципы,3
849,интеллекта исследований,3
850,компьютерных схожие,2
851,играх области,2
852,искусственного нелинейное,2
853,информационной искусственного,2
854,безопасности искусственного,2
855,безопасности области,2
856,перспективе развития,2
857,области перспективе,2
858,действия искусственного,2
859,некоторые свойства,2
860,известный ии,3
861,аи ии,2
862,научной области,2
863,ии направления,3
864,ии момент,3
865,ии области,10
866,известные некоторые,2
867,некоторые разработки,2
868,ии разработки,4
869,ии степени,3
870,ии проработанности,3
871,игр самых,3
872,систем степени,2
873,интеллект понятие,2
874,использование сфере,3
875,году использование,4
876,группу использование,2
877,использование противодействию,2
878,использование мошенничеству,2
879,использование несанкционированному,2
880,использование использованию,2
881,использование торговля,2
882,использование принятия,3
883,использование решений,3
884,использование скоростью,2
885,использование организм,2
886,ии принятия,4
887,ии способен,2
888,систем сфере,2
889,интеллекта сша,2
890,принятия систем,4
891,искусственного принятия,2
892,интеллекта принятия,2
893,автоматизированные системы,3
894,общие системы,2
895,искусственный точность,2
896,интеллект точность,2
897,алгоритмов финансовых,2
898,алгоритмов ии,4
899,ии продажи,2
900,развитие рынка,2
901,ии рынка,3
902,компании разработки,2
903,компании принятии,2
904,компании решений,2
905,инвестиционных решений,2
906,сетей социальных,3
907,ии названием,2
908,ии которая,3
909,модель разработки,2
910,большими данными,3
911,ии информация,4
912,ии трансляции,2
913,ии продукты,2
914,ии помощи,2
915,ии финансами,2
916,решений управлении,2
917,сан франциско,2
918,времени реальном,3
919,времени огромное,2
920,обучения построения,2
921,моделей обучения,2
922,кредитной платформа,2
923,компьютерное обучение,3
924,году платформа,2
925,году присвоения,2
926,баллов году,2
927,года небольшой,2
928,года кредитной,2
929,ии млрд,2
930,ии конце,2
931,ии октября,2
932,ии цифровой,2
933,году сбербанку,2
934,году млн,2
935,году сумму,2
936,году конце,2
937,года году,6
938,году премьер,2
939,году рф,2
940,году трансформации,2
941,млн сфере,2
942,года мероприятий,2
943,искусственный противника,2
944,интеллект оптимальный,2
945,интеллект противника,2
946,помощью технологией,2
947,данными помощью,2
948,ии интернет,2
949,важным ии,3
950,ии трендом,2
951,ии поля,2
952,боя ии,2
953,выбор ии,4
954,ии комбинации,2
955,ии сенсоров,2
956,ии поражения,2
957,ии противника,2
958,дополненной реальности,2
959,ии марта,2
960,ии комитет,3
961,ии президенту,2
962,ии конгрессу,2
963,доклад ии,2
964,запрет ии,2
965,ии классификацию,4
966,изображений марта,2
967,года изображений,2
968,года марта,2
969,марта основе,2
970,года основе,7
971,безопасности ии,2
972,ии основе,6
973,время ии,7
974,время принятия,2
975,время решений,2
976,китай комитет,2
977,китай опасение,2
978,китай россия,2
979,договор китай,2
980,запрете китай,2
981,китай применение,3
982,аи китай,2
983,деле китай,2
984,китай минобороны,2
985,китай сша,2
986,китай разработке,2
987,китай методов,2
988,внедрения китай,2
989,ии китай,2
990,ии сша,3
991,ии решение,2
992,интеллект которая,2
993,людей роботы,4
994,ии секторе,2
995,автоматизации ии,2
996,роботов сотрудников,2
997,клинических роботов,2
998,роботов систем,2
999,решений роботов,2
1000,роботов стартапов,2
1001,ресурсами роботов,2
1002,ии мире,3
1003,другие такие,2
1004,диагностики ии,2
1005,другие задачи,2
1006,время настоящее,5
1007,время другое,2
1008,здравоохранения ии,2
1009,ии стартапов,2
1010,другое ии,3
